45,90,90,135,result
-1,49,43,137,O_direction
45,90,90,136,O_direction
31,81,103,150,O_direction
45,96,100,133,O_direction
45,90,90,135,O_direction
32,75,73,117,O_direction
63,91,111,153,O_direction
61,62,103,150,O_direction
0,105,51,91,O_direction
47,76,107,147,O_direction
12,130,127,104,O_direction
61,72,115,115,O_direction
44,116,182,-45,O_direction
58,78,79,128,O_direction
56,108,82,122,O_direction
46,41,47,-2,difference
0,0,0,-1,difference
14,9,-13,-15,difference
0,-6,-10,2,difference
0,0,0,0,difference
13,15,17,18,difference
-18,-1,-21,-18,difference
-16,28,-13,-15,difference
45,-15,39,44,difference
-2,14,-17,-12,difference
33,-40,-37,31,difference
-16,18,-25,20,difference
1,-26,-92,180,difference
-13,12,11,7,difference
-11,-18,8,13,difference
