medianaims,df.Experiment,df.Participant
6,Continuous,1
9,Continuous,2
10,Continuous,3
8,Continuous,4
5,Continuous,5
21,Continuous,6
5.5,Continuous,7
13,Continuous,8
7.5,Continuous,9
21.5,Continuous,10
1,Continuous,11
6,Continuous,12
25,Continuous,13
20,Continuous,14
17,Continuous,15
19,Continuous,16
24,Continuous,17
16.5,Continuous,18
11,Continuous,19
13.5,Continuous,20
18.5,Continuous,21
27.5,Continuous,22
6.5,Continuous,23
15,Continuous,24
27,Continuous,25
14,Continuous,26
0.5,Continuous,27
1,Continuous,28
12,Continuous,29
10,Continuous,30
20,Continuous,31
35,Continuous,32
26.5,Terminal,1
9.5,Terminal,2
17.5,Terminal,3
16,Terminal,4
36,Terminal,5
16,Terminal,6
46,Terminal,7
36,Terminal,8
19,Terminal,9
42,Terminal,10
30,Terminal,11
17,Terminal,12
18.5,Terminal,13
18.5,Terminal,14
20.5,Terminal,15
26,Terminal,16
41,Terminal,17
16,Terminal,18
27.5,Terminal,19
36,Terminal,20
16.5,Terminal,21
25.5,Terminal,22
37,Terminal,23
26,Terminal,24
14.5,Terminal,25
15,Terminal,26
22.5,Terminal,27
7.5,Terminal,28
7,Terminal,29
8.5,Terminal,30
33.5,Terminal,31
31.5,Terminal,32
20,Terminal,33
31,Terminal,34
26.5,Terminal,35
23,Terminal,36
18.5,Terminal,37
23,Terminal,38
50.5,Cursor-Jump,1
32.5,Cursor-Jump,2
30,Cursor-Jump,3
13,Cursor-Jump,4
16.5,Cursor-Jump,5
26,Cursor-Jump,6
26,Cursor-Jump,7
10,Cursor-Jump,8
30,Cursor-Jump,9
40,Cursor-Jump,10
14.5,Cursor-Jump,11
19.5,Cursor-Jump,12
1,Cursor-Jump,13
36,Cursor-Jump,14
9,Cursor-Jump,15
34,Cursor-Jump,16
32,Cursor-Jump,17
1,Cursor-Jump,18
10.5,Cursor-Jump,19
21.5,Cursor-Jump,20
26,Cursor-Jump,21
11,Cursor-Jump,22
34,Cursor-Jump,23
29.5,Cursor-Jump,24
0.5,Cursor-Jump,25
44,Cursor-Jump,26
36,Cursor-Jump,27
29,Cursor-Jump,28
13,Cursor-Jump,29
14.5,Cursor-Jump,30
44.5,Cursor-Jump,31
14.5,Cursor-Jump,32
28.5,Cursor-Jump,33
12,Cursor-Jump,34
42.5,Cursor-Jump,35
32,Cursor-Jump,36
