medianaims,df.Experiment
10.5,Continuous
2.5,Continuous
8,Continuous
3.5,Continuous
20,Continuous
6,Continuous
9.5,Continuous
10,Continuous
18.5,Continuous
0.5,Continuous
7,Continuous
24,Continuous
20,Continuous
16.5,Continuous
18.5,Continuous
28,Continuous
16.5,Continuous
9,Continuous
17.5,Continuous
19.5,Continuous
20,Continuous
8.5,Continuous
15,Continuous
35,Continuous
18.5,Terminal
18.5,Terminal
16.5,Terminal
36.5,Terminal
14.5,Terminal
50,Terminal
35.5,Terminal
18,Terminal
43,Terminal
29.5,Terminal
1,Terminal
18,Terminal
18.5,Terminal
22,Terminal
24.5,Terminal
40,Terminal
12,Terminal
23.5,Terminal
25,Terminal
15.5,Terminal
26.5,Terminal
37,Terminal
42,Terminal
21.5,Terminal
17,Terminal
24,Terminal
6,Terminal
7,Terminal
24.5,Terminal
22.5,Terminal
47.5,Cursor-Jump
32.5,Cursor-Jump
34.5,Cursor-Jump
16.5,Cursor-Jump
16.5,Cursor-Jump
25.5,Cursor-Jump
12,Cursor-Jump
10.5,Cursor-Jump
45.5,Cursor-Jump
38.5,Cursor-Jump
15,Cursor-Jump
19,Cursor-Jump
0,Cursor-Jump
36.5,Cursor-Jump
9,Cursor-Jump
34,Cursor-Jump
24.5,Cursor-Jump
0.5,Cursor-Jump
7.5,Cursor-Jump
20.5,Cursor-Jump
26,Cursor-Jump
10,Cursor-Jump
32,Cursor-Jump
24.5,Cursor-Jump
0,Cursor-Jump
46,Cursor-Jump
34.5,Cursor-Jump
13.5,Cursor-Jump
11.5,Cursor-Jump
36,Cursor-Jump
31,Cursor-Jump
7.5,Continuous
20,Continuous
8,Continuous
5.5,Continuous
22,Continuous
5,Continuous
16,Continuous
7,Continuous
24,Continuous
1,Continuous
5.5,Continuous
27.5,Continuous
16,Continuous
17.5,Continuous
20.5,Continuous
22,Continuous
17,Continuous
12,Continuous
12.5,Continuous
18,Continuous
31,Continuous
4.5,Continuous
14.5,Continuous
26,Continuous
9.5,Terminal
17,Terminal
15.5,Terminal
32,Terminal
18.5,Terminal
31,Terminal
32,Terminal
19,Terminal
32.5,Terminal
24,Terminal
16.5,Terminal
21.5,Terminal
16.5,Terminal
20.5,Terminal
26,Terminal
41,Terminal
14,Terminal
26.5,Terminal
33,Terminal
18,Terminal
24,Terminal
28,Terminal
17,Terminal
15,Terminal
15,Terminal
22.5,Terminal
9,Terminal
7,Terminal
20.5,Terminal
22,Terminal
55.5,Cursor-Jump
32.5,Cursor-Jump
25,Cursor-Jump
11,Cursor-Jump
16.5,Cursor-Jump
26.5,Cursor-Jump
28,Cursor-Jump
6,Cursor-Jump
24.5,Cursor-Jump
41,Cursor-Jump
14.5,Cursor-Jump
19.5,Cursor-Jump
36,Cursor-Jump
35.5,Cursor-Jump
15,Cursor-Jump
35,Cursor-Jump
35,Cursor-Jump
1,Cursor-Jump
12.5,Cursor-Jump
23.5,Cursor-Jump
26.5,Cursor-Jump
11,Cursor-Jump
34,Cursor-Jump
30.5,Cursor-Jump
6.5,Cursor-Jump
42.5,Cursor-Jump
36,Cursor-Jump
12.5,Cursor-Jump
12.5,Cursor-Jump
43,Cursor-Jump
35,Cursor-Jump
