medianaims,df.Experiment,Participant
10.5,Continuous,1
2.5,Continuous,2
8,Continuous,3
3.5,Continuous,4
20,Continuous,5
6,Continuous,6
9.5,Continuous,7
10,Continuous,8
18.5,Continuous,9
0.5,Continuous,10
7,Continuous,11
24,Continuous,12
20,Continuous,13
16.5,Continuous,14
18.5,Continuous,15
28,Continuous,16
16.5,Continuous,17
9,Continuous,18
17.5,Continuous,19
19.5,Continuous,20
20,Continuous,21
8.5,Continuous,22
15,Continuous,24
35,Continuous,25
18.5,Terminal,1
18.5,Terminal,2
16.5,Terminal,3
36.5,Terminal,4
14.5,Terminal,5
50,Terminal,6
35.5,Terminal,7
18,Terminal,8
43,Terminal,9
29.5,Terminal,10
1,Terminal,11
18,Terminal,12
18.5,Terminal,13
22,Terminal,14
24.5,Terminal,15
40,Terminal,16
12,Terminal,17
23.5,Terminal,18
25,Terminal,19
15.5,Terminal,20
26.5,Terminal,21
37,Terminal,22
42,Terminal,23
21.5,Terminal,24
17,Terminal,25
24,Terminal,26
6,Terminal,27
7,Terminal,28
24.5,Terminal,29
22.5,Terminal,30
47.5,Cursor-Jump,1
32.5,Cursor-Jump,2
34.5,Cursor-Jump,3
16.5,Cursor-Jump,4
16.5,Cursor-Jump,5
25.5,Cursor-Jump,6
12,Cursor-Jump,7
10.5,Cursor-Jump,8
45.5,Cursor-Jump,9
38.5,Cursor-Jump,10
15,Cursor-Jump,11
19,Cursor-Jump,12
0,Cursor-Jump,13
36.5,Cursor-Jump,14
9,Cursor-Jump,15
34,Cursor-Jump,16
24.5,Cursor-Jump,17
0.5,Cursor-Jump,18
7.5,Cursor-Jump,19
20.5,Cursor-Jump,20
26,Cursor-Jump,21
10,Cursor-Jump,22
32,Cursor-Jump,23
24.5,Cursor-Jump,24
0,Cursor-Jump,25
46,Cursor-Jump,26
34.5,Cursor-Jump,27
13.5,Cursor-Jump,28
11.5,Cursor-Jump,29
36,Cursor-Jump,30
31,Cursor-Jump,31
7.5,Continuous,1
20,Continuous,2
8,Continuous,3
5.5,Continuous,4
22,Continuous,5
5,Continuous,6
16,Continuous,7
7,Continuous,8
24,Continuous,9
1,Continuous,10
5.5,Continuous,11
27.5,Continuous,12
16,Continuous,13
17.5,Continuous,14
20.5,Continuous,15
22,Continuous,16
17,Continuous,17
12,Continuous,18
12.5,Continuous,19
18,Continuous,20
31,Continuous,21
4.5,Continuous,22
14.5,Continuous,24
26,Continuous,25
9.5,Terminal,1
17,Terminal,2
15.5,Terminal,3
32,Terminal,4
18.5,Terminal,5
31,Terminal,6
32,Terminal,7
19,Terminal,8
32.5,Terminal,9
24,Terminal,10
16.5,Terminal,11
21.5,Terminal,12
16.5,Terminal,13
20.5,Terminal,14
26,Terminal,15
41,Terminal,16
14,Terminal,17
26.5,Terminal,18
33,Terminal,19
18,Terminal,20
24,Terminal,21
28,Terminal,22
17,Terminal,23
15,Terminal,24
15,Terminal,25
22.5,Terminal,26
9,Terminal,27
7,Terminal,28
20.5,Terminal,29
22,Terminal,30
55.5,Cursor-Jump,1
32.5,Cursor-Jump,2
25,Cursor-Jump,3
11,Cursor-Jump,4
16.5,Cursor-Jump,5
26.5,Cursor-Jump,6
28,Cursor-Jump,7
6,Cursor-Jump,8
24.5,Cursor-Jump,9
41,Cursor-Jump,10
14.5,Cursor-Jump,11
19.5,Cursor-Jump,12
36,Cursor-Jump,13
35.5,Cursor-Jump,14
15,Cursor-Jump,15
35,Cursor-Jump,16
35,Cursor-Jump,17
1,Cursor-Jump,18
12.5,Cursor-Jump,19
23.5,Cursor-Jump,20
26.5,Cursor-Jump,21
11,Cursor-Jump,22
34,Cursor-Jump,23
30.5,Cursor-Jump,24
6.5,Cursor-Jump,25
42.5,Cursor-Jump,26
36,Cursor-Jump,27
12.5,Cursor-Jump,28
12.5,Cursor-Jump,29
43,Cursor-Jump,30
35,Cursor-Jump,31
