medianaims,experiment,Participant
43.5,continuous,p1
0,continuous,p2
13.5,continuous,p3
4,continuous,p4
0,continuous,p5
16,continuous,p6
18,continuous,p7
15.5,continuous,p8
41.5,continuous,p9
13,continuous,p10
35,continuous,p11
19,continuous,p12
59,continuous,p13
11.5,continuous,p14
12,continuous,p15
72.5,terminal,p1
15,terminal,p2
4,terminal,p3
17,terminal,p4
15.5,terminal,p5
36,terminal,p6
36,terminal,p7
45,terminal,p8
8,terminal,p9
0,terminal,p10
28,terminal,p11
45,terminal,p12
23,terminal,p13
11.5,terminal,p14
44.5,cursorjump,p1
41.5,cursorjump,p2
18,cursorjump,p3
47.5,cursorjump,p4
24,cursorjump,p5
8,cursorjump,p6
1.5,cursorjump,p7
16.5,cursorjump,p8
7.5,cursorjump,p9
45,cursorjump,p10
44.5,cursorjump,p11
36.5,cursorjump,p12
16,cursorjump,p13
30,cursorjump,p14
44.5,cursorjump,p15
