medianaims,df.experiment
43.5,continuous
0,continuous
13.5,continuous
4,continuous
0,continuous
16,continuous
18,continuous
15.5,continuous
41.5,continuous
13,continuous
35,continuous
19,continuous
59,continuous
11.5,continuous
12,continuous
72.5,terminal
15,terminal
4,terminal
17,terminal
15.5,terminal
36,terminal
36,terminal
45,terminal
8,terminal
0,terminal
28,terminal
45,terminal
23,terminal
11.5,terminal
44.5,cursorjump
41.5,cursorjump
18,cursorjump
47.5,cursorjump
24,cursorjump
8,cursorjump
1.5,cursorjump
16.5,cursorjump
7.5,cursorjump
45,cursorjump
44.5,cursorjump
36.5,cursorjump
16,cursorjump
30,cursorjump
44.5,cursorjump
