group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
continuous,nocursors,main,0.111574022,0.080889078,0.098595071,0.141113471,22.82330635,21.87793614,22.36624188,26.8701664
continuous,slowprocess,main,0.030855714,0.03042641,0.037159647,0.038750678,23.50255765,22.61601337,23.59111768,23.99548759
continuous,reaches,main,0.119075153,0.068674355,0.109985438,0.190103476,26.56084298,25.26651056,26.46869562,28.82263184
terminal,nocursors,main,0.147610373,0.080253365,0.096868555,0.187559607,8.804153652,5.41873844,8.073586719,10.48222259
terminal,slowprocess,main,0.057832509,0.049367814,0.074338056,0.078475635,21.46798924,17.85725168,21.25896148,26.02504883
terminal,reaches,main,0.027692019,0.016960531,0.022248263,0.050720602,37.67878436,35.29555836,39.30109858,44.87341121
cursorjump,nocursors,main,0.054853243,0.031871367,0.035890917,0.145869104,8.948879323,6.846368508,9.134760442,10.86569069
cursorjump,slowprocess,main,0.049547943,0.037211879,0.050359435,0.060860689,20.26458462,13.5356051,17.47558108,23.18494913
cursorjump,reaches,main,0.030735135,0.017684311,0.025590376,0.038125781,33.57086139,30.19293995,36.3385516,37.96217225
